Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID
PF3D7_0710600	PF3D7_0710600.1	P. falciparum 3D7	Pf3D7_07_v3:478,468..479,138(-)	60S ribosomal protein L34	protein coding	2655091
PF3D7_0710700	PF3D7_0710700.1	P. falciparum 3D7	Pf3D7_07_v3:481,369..481,974(-)	conserved Plasmodium protein, unknown function	protein coding	2655092
PF3D7_0711000	PF3D7_0711000.1	P. falciparum 3D7	Pf3D7_07_v3:487,281..490,970(-)	AAA family ATPase, CDC48 subfamily	protein coding	2655095
PF3D7_0711400	PF3D7_0711400.1	P. falciparum 3D7	Pf3D7_07_v3:500,408..502,594(-)	histone deacetylase complex subunit SAP18, putative	protein coding	2655210
PF3D7_0711500	PF3D7_0711500.1	P. falciparum 3D7	Pf3D7_07_v3:505,245..507,311(+)	regulator of chromosome condensation, putative	protein coding	2655211
PF3D7_0713900	PF3D7_0713900.1	P. falciparum 3D7	Pf3D7_07_v3:627,067..637,776(-)	conserved Plasmodium protein, unknown function	protein coding	2655097
PF3D7_0714200	PF3D7_0714200.1	P. falciparum 3D7	Pf3D7_07_v3:650,834..654,919(+)	conserved Plasmodium protein, unknown function	protein coding	2655100
PF3D7_0714300	PF3D7_0714300.1	P. falciparum 3D7	Pf3D7_07_v3:656,871..661,669(+)	palmitoyltransferase DHHC4, putative	protein coding	2655016
PF3D7_0714500	PF3D7_0714500.1	P. falciparum 3D7	Pf3D7_07_v3:664,956..666,167(+)	transcription elongation factor s-II, putative	protein coding	2655101
PF3D7_0715600	PF3D7_0715600.1	P. falciparum 3D7	Pf3D7_07_v3:691,068..693,332(+)	GTP-binding translation elongation factor tu family protein, putative	protein coding	2655106
PF3D7_0716000	PF3D7_0716000.1	P. falciparum 3D7	Pf3D7_07_v3:703,207..706,584(+)	RNA-binding protein, putative	protein coding	2655110
PF3D7_0716100	PF3D7_0716100.1	P. falciparum 3D7	Pf3D7_07_v3:707,699..710,908(-)	protein SDA1, putative	protein coding	2655111
PF3D7_0716200	PF3D7_0716200.1	P. falciparum 3D7	Pf3D7_07_v3:712,469..714,967(+)	PDCD2 domain-containing protein, putative	protein coding	2655041
PF3D7_0716300	PF3D7_0716300.1	P. falciparum 3D7	Pf3D7_07_v3:717,281..718,968(+)	conserved protein, unknown function	protein coding	2655042
PF3D7_0716800	PF3D7_0716800.1	P. falciparum 3D7	Pf3D7_07_v3:732,070..733,496(-)	eukaryotic translation initiation factor 3 subunit I, putative	protein coding	2655045
PF3D7_0717300	PF3D7_0717300.1	P. falciparum 3D7	Pf3D7_07_v3:748,990..750,699(+)	transcription initiation factor IIE subunit alpha, putative	protein coding	2655049
PF3D7_0717400	PF3D7_0717400.1	P. falciparum 3D7	Pf3D7_07_v3:751,877..754,132(+)	queuine tRNA-ribosyltransferase, putative	protein coding	2655115
PF3D7_0717500	PF3D7_0717500.1	P. falciparum 3D7	Pf3D7_07_v3:755,763..757,696(+)	calcium-dependent protein kinase 4	protein coding	2655116
PF3D7_0717700	PF3D7_0717700.1	P. falciparum 3D7	Pf3D7_07_v3:764,794..766,413(-)	serine--tRNA ligase, putative	protein coding	2655117
PF3D7_0719300	PF3D7_0719300.1	P. falciparum 3D7	Pf3D7_07_v3:844,495..847,593(+)	actin-related protein, putative	protein coding	2655121
PF3D7_0719400	PF3D7_0719400.1	P. falciparum 3D7	Pf3D7_07_v3:848,398..853,593(-)	conserved Plasmodium protein, unknown function	protein coding	2654955
PF3D7_0719700	PF3D7_0719700.1	P. falciparum 3D7	Pf3D7_07_v3:861,583..862,487(+)	40S ribosomal protein S10, putative	protein coding	2655124
PF3D7_0719800	PF3D7_0719800.1	P. falciparum 3D7	Pf3D7_07_v3:863,452..864,813(-)	conserved protein, unknown function	protein coding	2655125
PF3D7_0719900	PF3D7_0719900.1	P. falciparum 3D7	Pf3D7_07_v3:865,927..876,132(+)	conserved Plasmodium membrane protein, unknown function	protein coding	2655126
PF3D7_0720200	PF3D7_0720200.1	P. falciparum 3D7	Pf3D7_07_v3:879,454..879,946(+)	conserved protein, unknown function	protein coding	2655128
PF3D7_0720700	PF3D7_0720700.1	P. falciparum 3D7	Pf3D7_07_v3:891,683..899,051(+)	phosphoinositide-binding protein, putative	protein coding	2654930
PF3D7_0721000	PF3D7_0721000.1	P. falciparum 3D7	Pf3D7_07_v3:904,143..914,671(+)	conserved Plasmodium membrane protein, unknown function	protein coding	2655130
PF3D7_0721100	PF3D7_0721100.1	P. falciparum 3D7	Pf3D7_07_v3:916,434..917,168(+)	conserved protein, unknown function	protein coding	2655131
PF3D7_0721600	PF3D7_0721600.1	P. falciparum 3D7	Pf3D7_07_v3:931,459..932,164(-)	40S ribosomal protein S5, putative	protein coding	2655132
PF3D7_0722100	PF3D7_0722100.1	P. falciparum 3D7	Pf3D7_07_v3:944,023..945,234(+)	protein pelota homolog, putative	protein coding	2655184
PF3D7_0722200	PF3D7_0722200.1	P. falciparum 3D7	Pf3D7_07_v3:946,363..948,612(+)	rhoptry-associated leucine zipper-like protein 1	protein coding	2655185
PF3D7_0723400	PF3D7_0723400.1	P. falciparum 3D7	Pf3D7_07_v3:978,920..983,188(-)	conserved Plasmodium protein, unknown function	protein coding	2655141
PF3D7_0723700	PF3D7_0723700.1	P. falciparum 3D7	Pf3D7_07_v3:988,145..991,243(+)	metallo-hydrolase/oxidoreductase, putative	protein coding	2655144
PF3D7_0723800	PF3D7_0723800.1	P. falciparum 3D7	Pf3D7_07_v3:993,232..1,000,233(+)	conserved Plasmodium protein, unknown function	protein coding	2655145
PF3D7_0723900	PF3D7_0723900.1	P. falciparum 3D7	Pf3D7_07_v3:1,000,701..1,004,746(-)	RNA-binding protein, putative	protein coding	2655149
PF3D7_0724100	PF3D7_0724100.1	P. falciparum 3D7	Pf3D7_07_v3:1,013,295..1,016,449(-)	conserved Plasmodium protein, unknown function	protein coding	2655152
PF3D7_0724600	PF3D7_0724600.1	P. falciparum 3D7	Pf3D7_07_v3:1,026,444..1,033,077(-)	protein kinase, putative	protein coding	2655078
PF3D7_0724700	PF3D7_0724700.1	P. falciparum 3D7	Pf3D7_07_v3:1,034,969..1,046,109(-)	conserved Plasmodium protein, unknown function	protein coding	2655080
PF3D7_0724900	PF3D7_0724900.1	P. falciparum 3D7	Pf3D7_07_v3:1,052,465..1,058,158(+)	kinesin-19, putative	protein coding	2655157
PF3D7_0725000	PF3D7_0725000.1	P. falciparum 3D7	Pf3D7_07_v3:1,058,933..1,062,976(-)	exonuclease I, putative	protein coding	2655158
PF3D7_0725300	PF3D7_0725300.1	P. falciparum 3D7	Pf3D7_07_v3:1,072,202..1,074,754(-)	conserved protein, unknown function	protein coding	2655159
PF3D7_0725400	PF3D7_0725400.1	P. falciparum 3D7	Pf3D7_07_v3:1,079,015..1,080,055(+)	conserved Plasmodium protein, unknown function	protein coding	2655085
PF3D7_0726100	PF3D7_0726100.1	P. falciparum 3D7	Pf3D7_07_v3:1,093,566..1,096,122(-)	Plasmodium exported protein, unknown function	protein coding	2655160
PF3D7_0726300	PF3D7_0726300.1	P. falciparum 3D7	Pf3D7_07_v3:1,104,156..1,108,364(+)	DNA mismatch repair protein PMS1, putative	protein coding	2655088
PF3D7_0726500	PF3D7_0726500.1	P. falciparum 3D7	Pf3D7_07_v3:1,126,556..1,136,577(-)	ubiquitin carboxyl-terminal hydrolase, putative	protein coding	2655023
PF3D7_0727400	PF3D7_0727400.1	P. falciparum 3D7	Pf3D7_07_v3:1,162,710..1,163,831(+)	proteasome subunit alpha type-5, putative	protein coding	2655165
PF3D7_0728000	PF3D7_0728000.1	P. falciparum 3D7	Pf3D7_07_v3:1,191,179..1,192,289(-)	eukaryotic translation initiation factor 2 subunit alpha	protein coding	2655170
PF3D7_0728600	PF3D7_0728600.1	P. falciparum 3D7	Pf3D7_07_v3:1,218,426..1,225,473(+)	RING zinc finger protein, putative	protein coding	2655031
PF3D7_0729100	PF3D7_0729100.1	P. falciparum 3D7	Pf3D7_07_v3:1,238,446..1,246,188(+)	conserved Plasmodium protein, unknown function	protein coding	2655173
PF3D7_0729400	PF3D7_0729400.1	P. falciparum 3D7	Pf3D7_07_v3:1,252,847..1,254,097(+)	ribosome biogenesis protein BRX1, putative	protein coding	2655175
PF3D7_0729500	PF3D7_0729500.1	P. falciparum 3D7	Pf3D7_07_v3:1,255,371..1,257,653(+)	mRNA (N6-adenosine)-methyltransferase, putative	protein coding	2655176
PF3D7_0729600	PF3D7_0729600.1	P. falciparum 3D7	Pf3D7_07_v3:1,258,787..1,259,730(+)	conserved Plasmodium protein, unknown function	protein coding	2655037
PF3D7_0730300	PF3D7_0730300.1	P. falciparum 3D7	Pf3D7_07_v3:1,297,459..1,301,454(+)	AP2 domain transcription factor AP2-L, putative	protein coding	2655179
PF3D7_0730500	PF3D7_0730500.1	P. falciparum 3D7	Pf3D7_07_v3:1,305,894..1,314,215(-)	conserved Plasmodium protein, unknown function	protein coding	2654990
PF3D7_0730800	PF3D7_0730800.1	P. falciparum 3D7	Pf3D7_07_v3:1,321,306..1,322,367(+)	Plasmodium exported protein, unknown function, unspecified product	protein coding	2654992
PF3D7_0730800	PF3D7_0730800.2	P. falciparum 3D7	Pf3D7_07_v3:1,321,306..1,322,367(+)	Plasmodium exported protein, unknown function, unspecified product	protein coding	2654992
PF3D7_0730900	PF3D7_0730900.1	P. falciparum 3D7	Pf3D7_07_v3:1,325,375..1,331,813(+)	EMP1-trafficking protein	protein coding	2654993
PF3D7_0731100	PF3D7_0731100.1	P. falciparum 3D7	Pf3D7_07_v3:1,338,959..1,341,790(+)	EMP1-trafficking protein	protein coding	2654994
PF3D7_0731200	PF3D7_0731200.1	P. falciparum 3D7	Pf3D7_07_v3:1,342,842..1,343,996(-)	Plasmodium exported protein, unknown function	protein coding	2654995
PF3D7_0731300	PF3D7_0731300.1	P. falciparum 3D7	Pf3D7_07_v3:1,350,032..1,351,149(+)	Plasmodium exported protein (PHISTb), unknown function	protein coding	2654996
PF3D7_0801000	PF3D7_0801000.1	P. falciparum 3D7	Pf3D7_08_v3:84,568..88,422(-)	Plasmodium exported protein (PHISTc), unknown function	protein coding	2655336
PF3D7_0801900	PF3D7_0801900.1	P. falciparum 3D7	Pf3D7_08_v3:128,849..142,837(+)	lysine-specific histone demethylase, putative	protein coding	2655401
PF3D7_0802000	PF3D7_0802000.1	P. falciparum 3D7	Pf3D7_08_v3:146,089..150,282(+)	glutamate dehydrogenase, putative	protein coding	2655330
PF3D7_0802100	PF3D7_0802100.1	P. falciparum 3D7	Pf3D7_08_v3:151,808..159,668(-)	AP2 domain transcription factor, putative	protein coding	2655400
PF3D7_0802400	PF3D7_0802400.1	P. falciparum 3D7	Pf3D7_08_v3:171,865..174,385(+)	conserved Plasmodium protein, unknown function	protein coding	2655399
PF3D7_0802800	PF3D7_0802800.1	P. falciparum 3D7	Pf3D7_08_v3:191,976..194,103(+)	serine/threonine protein phosphatase 2B catalytic subunit A	protein coding	2655328
PF3D7_0803000	PF3D7_0803000.1	P. falciparum 3D7	Pf3D7_08_v3:196,581..198,614(+)	peptidyl-prolyl cis-trans isomerase	protein coding	2655327
PF3D7_0803100	PF3D7_0803100.1	P. falciparum 3D7	Pf3D7_08_v3:199,181..202,918(-)	U3 small nucleolar RNA-associated protein 14, putative	protein coding	2655326
PF3D7_0803200	PF3D7_0803200.1	P. falciparum 3D7	Pf3D7_08_v3:204,241..206,661(-)	filament assembling protein, putative	protein coding	2655371
PF3D7_0803400	PF3D7_0803400.1	P. falciparum 3D7	Pf3D7_08_v3:212,252..215,971(+)	DNA repair and recombination protein RAD54, putative	protein coding	2655325
PF3D7_0803500	PF3D7_0803500.1	P. falciparum 3D7	Pf3D7_08_v3:217,888..222,291(+)	AAA family ATPase, putative	protein coding	2655369
PF3D7_0803700	PF3D7_0803700.1	P. falciparum 3D7	Pf3D7_08_v3:231,398..232,756(+)	tubulin gamma chain	protein coding	2655324
PF3D7_0804000	PF3D7_0804000.1	P. falciparum 3D7	Pf3D7_08_v3:237,853..241,048(+)	cactin homolog, putative	protein coding	2655323
PF3D7_0804300	PF3D7_0804300.1	P. falciparum 3D7	Pf3D7_08_v3:242,103..244,775(+)	zinc finger protein, putative	protein coding	2655408
PF3D7_0804500	PF3D7_0804500.1	P. falciparum 3D7	Pf3D7_08_v3:250,083..268,437(+)	conserved Plasmodium membrane protein, unknown function	protein coding	2655405
PF3D7_0804900	PF3D7_0804900.1	P. falciparum 3D7	Pf3D7_08_v3:279,711..281,186(-)	GTPase-activating protein, putative	protein coding	2655319
PF3D7_0806300	PF3D7_0806300.1	P. falciparum 3D7	Pf3D7_08_v3:337,902..343,254(-)	ferlin-like protein, putative	protein coding	2655409
PF3D7_0806500	PF3D7_0806500.1	P. falciparum 3D7	Pf3D7_08_v3:345,427..347,454(-)	DnaJ protein, putative	protein coding	2655314
PF3D7_0806700	PF3D7_0806700.1	P. falciparum 3D7	Pf3D7_08_v3:354,472..362,396(+)	conserved Plasmodium membrane protein, unknown function	protein coding	2655313
PF3D7_0806800	PF3D7_0806800.1	P. falciparum 3D7	Pf3D7_08_v3:363,260..366,421(-)	V-type proton ATPase subunit a, putative	protein coding	4794196
PF3D7_0807500	PF3D7_0807500.1	P. falciparum 3D7	Pf3D7_08_v3:387,219..388,364(+)	proteasome subunit alpha type-6, putative	protein coding	2655251
PF3D7_0807600	PF3D7_0807600.1	P. falciparum 3D7	Pf3D7_08_v3:389,596..394,259(-)	conserved Plasmodium protein, unknown function	protein coding	2655250
PF3D7_0807800	PF3D7_0807800.1	P. falciparum 3D7	Pf3D7_08_v3:399,591..401,360(-)	26S proteasome regulatory subunit RPN10, putative	protein coding	2655309
PF3D7_0807900	PF3D7_0807900.1	P. falciparum 3D7	Pf3D7_08_v3:402,595..404,141(+)	tyrosine--tRNA ligase	protein coding	2655248
PF3D7_0808200	PF3D7_0808200.1	P. falciparum 3D7	Pf3D7_08_v3:416,344..418,065(-)	plasmepsin X	protein coding	2655308
PF3D7_0809100	PF3D7_0809100.1	P. falciparum 3D7	Pf3D7_08_v3:459,312..466,567(+)	erythrocyte membrane protein 1, PfEMP1	protein coding	2655303
PF3D7_0809200	PF3D7_0809200.1	P. falciparum 3D7	Pf3D7_08_v3:467,943..471,893(-)	asparagine-rich antigen Pfa55-14	protein coding	2655301
PF3D7_0809600	PF3D7_0809600.1	P. falciparum 3D7	Pf3D7_08_v3:479,980..497,382(-)	peptidase family C50, putative	protein coding	2655237
PF3D7_0809900	PF3D7_0809900.1	P. falciparum 3D7	Pf3D7_08_v3:508,224..512,428(-)	JmjC domain-containing protein, putative	protein coding	2655235
PF3D7_0810500	PF3D7_0810500.1	P. falciparum 3D7	Pf3D7_08_v3:534,469..536,619(-)	protein phosphatase PPM7, putative	protein coding	2655394
PF3D7_0810600	PF3D7_0810600.1	P. falciparum 3D7	Pf3D7_08_v3:541,971..544,796(+)	ATP-dependent RNA helicase DBP1, putative	protein coding	2655295
PF3D7_0811300	PF3D7_0811300.1	P. falciparum 3D7	Pf3D7_08_v3:567,824..573,148(+)	CCR4-associated factor 1	protein coding	2655222
PF3D7_0811400	PF3D7_0811400.1	P. falciparum 3D7	Pf3D7_08_v3:575,986..578,370(+)	conserved protein, unknown function	protein coding	2655221
PF3D7_0812100	PF3D7_0812100.1	P. falciparum 3D7	Pf3D7_08_v3:604,923..612,878(+)	proteasome activator complex subunit 4, putative	protein coding	2655288
PF3D7_0812400	PF3D7_0812400.1	P. falciparum 3D7	Pf3D7_08_v3:621,805..623,442(-)	karyopherin alpha	protein coding	2655286
PF3D7_0812600	PF3D7_0812600.1	P. falciparum 3D7	Pf3D7_08_v3:631,584..632,229(-)	ubiquitin-conjugating enzyme E2, putative	protein coding	2655284
PF3D7_0813000	PF3D7_0813000.1	P. falciparum 3D7	Pf3D7_08_v3:643,086..644,885(-)	conserved protein, unknown function	protein coding	2655282
PF3D7_0813100	PF3D7_0813100.1	P. falciparum 3D7	Pf3D7_08_v3:647,316..649,304(-)	conserved Plasmodium protein, unknown function	protein coding	2655281
PF3D7_0813200	PF3D7_0813200.1	P. falciparum 3D7	Pf3D7_08_v3:651,417..652,804(-)	CS domain protein, putative	protein coding	2655447
PF3D7_0813300	PF3D7_0813300.1	P. falciparum 3D7	Pf3D7_08_v3:656,078..657,630(+)	conserved protein, unknown function	protein coding	2655446
PF3D7_0813400	PF3D7_0813400.1	P. falciparum 3D7	Pf3D7_08_v3:658,493..662,095(-)	conserved protein, unknown function	protein coding	2655280
PF3D7_0813700	PF3D7_0813700.1	P. falciparum 3D7	Pf3D7_08_v3:671,157..675,416(-)	ABC transporter F family member 1	protein coding	2655277
PF3D7_0813900	PF3D7_0813900.1	P. falciparum 3D7	Pf3D7_08_v3:677,989..678,725(-)	40S ribosomal protein S16, putative	protein coding	2655275
PF3D7_0814000	PF3D7_0814000.1	P. falciparum 3D7	Pf3D7_08_v3:680,957..681,809(+)	60S ribosomal protein L13-2, putative	protein coding	2655274
PF3D7_0815300	PF3D7_0815300.1	P. falciparum 3D7	Pf3D7_08_v3:721,928..725,476(+)	FAD-dependent monooxygenase, putative	protein coding	2655267
PF3D7_0815600	PF3D7_0815600.1	P. falciparum 3D7	Pf3D7_08_v3:729,917..732,187(-)	eukaryotic translation initiation factor 3 subunit G, putative	protein coding	2655434
PF3D7_0815800	PF3D7_0815800.1	P. falciparum 3D7	Pf3D7_08_v3:735,680..741,181(-)	vacuolar protein sorting-associated protein 9, putative	protein coding	2655433
PF3D7_0817300	PF3D7_0817300.1	P. falciparum 3D7	Pf3D7_08_v3:782,909..789,616(-)	conserved Plasmodium protein, unknown function	protein coding	2655260
PF3D7_0817500	PF3D7_0817500.1	P. falciparum 3D7	Pf3D7_08_v3:798,777..800,205(+)	histidine triad nucleotide-binding protein 1	protein coding	2655259
PF3D7_0817600	PF3D7_0817600.1	P. falciparum 3D7	Pf3D7_08_v3:800,920..804,034(-)	conserved protein, unknown function	protein coding	2655258
PF3D7_0817900	PF3D7_0817900.1	P. falciparum 3D7	Pf3D7_08_v3:816,803..817,102(-)	high mobility group protein B2	protein coding	2655422
PF3D7_0818000	PF3D7_0818000.1	P. falciparum 3D7	Pf3D7_08_v3:821,334..822,452(+)	U4/U6.U5 small nuclear ribonucleoprotein, putative	protein coding	2655421
PF3D7_0818200	PF3D7_0818200.1	P. falciparum 3D7	Pf3D7_08_v3:830,006..831,454(+)	14-3-3 protein	protein coding	2655418
PF3D7_0818800	PF3D7_0818800.1	P. falciparum 3D7	Pf3D7_08_v3:855,654..856,742(-)	U3 small nucleolar ribonucleoprotein protein IMP4, putative	protein coding	2655255
PF3D7_0818900	PF3D7_0818900.1	P. falciparum 3D7	Pf3D7_08_v3:860,384..862,417(+)	heat shock protein 70	protein coding	2655254
PF3D7_0819000	PF3D7_0819000.1	P. falciparum 3D7	Pf3D7_08_v3:863,505..868,137(-)	conserved Plasmodium protein, unknown function	protein coding	2655390
PF3D7_0819900	PF3D7_0819900.1	P. falciparum 3D7	Pf3D7_08_v3:899,004..899,657(-)	U6 snRNA-associated Sm-like protein LSm3, putative	protein coding	2655500
PF3D7_0820000	PF3D7_0820000.1	P. falciparum 3D7	Pf3D7_08_v3:900,742..907,714(-)	Snf2-related CBP activator, putative	protein coding	2655499
PF3D7_0820300	PF3D7_0820300.1	P. falciparum 3D7	Pf3D7_08_v3:919,055..920,896(+)	conserved Plasmodium protein, unknown function	protein coding	2655498
PF3D7_0820700	PF3D7_0820700.1	P. falciparum 3D7	Pf3D7_08_v3:932,321..935,626(+)	2-oxoglutarate dehydrogenase E1 component	protein coding	2655496
PF3D7_0821500	PF3D7_0821500.1	P. falciparum 3D7	Pf3D7_08_v3:967,901..968,740(-)	ribosomal RNA small subunit methyltransferase NEP1, putative	protein coding	2655492
PF3D7_0822900	PF3D7_0822900.1	P. falciparum 3D7	Pf3D7_08_v3:1,007,777..1,011,307(-)	conserved Plasmodium protein, unknown function	protein coding	2655486
PF3D7_0823200	PF3D7_0823200.1	P. falciparum 3D7	Pf3D7_08_v3:1,022,629..1,023,846(-)	RNA-binding protein, putative	protein coding	2655381
PF3D7_0823300	PF3D7_0823300.1	P. falciparum 3D7	Pf3D7_08_v3:1,028,752..1,033,514(+)	histone acetyltransferase GCN5	protein coding	2655485
PF3D7_0824200	PF3D7_0824200.1	P. falciparum 3D7	Pf3D7_08_v3:1,055,135..1,059,003(+)	conserved Plasmodium protein, unknown function	protein coding	2655375
PF3D7_0824400	PF3D7_0824400.1	P. falciparum 3D7	Pf3D7_08_v3:1,062,304..1,064,061(-)	nucleoside transporter 2	protein coding	2655415
PF3D7_0825000	PF3D7_0825000.1	P. falciparum 3D7	Pf3D7_08_v3:1,086,048..1,091,248(+)	conserved Plasmodium protein, unknown function	protein coding	2655411
PF3D7_0825500	PF3D7_0825500.1	P. falciparum 3D7	Pf3D7_08_v3:1,098,484..1,100,376(+)	protein KRI1, putative	protein coding	2655476
PF3D7_0826100	PF3D7_0826100.1	P. falciparum 3D7	Pf3D7_08_v3:1,113,369..1,139,144(-)	HECT-like E3 ubiquitin ligase, putative	protein coding	2655229
PF3D7_0826500	PF3D7_0826500.1	P. falciparum 3D7	Pf3D7_08_v3:1,152,302..1,156,282(+)	ubiquitin conjugation factor E4 B, putative	protein coding	2655469
PF3D7_0827600	PF3D7_0827600.1	P. falciparum 3D7	Pf3D7_08_v3:1,187,623..1,192,925(-)	conserved Plasmodium protein, unknown function	protein coding	2655363
PF3D7_0827900	PF3D7_0827900.1	P. falciparum 3D7	Pf3D7_08_v3:1,206,788..1,208,394(-)	protein disulfide isomerase	protein coding	2655362
PF3D7_0828500	PF3D7_0828500.1	P. falciparum 3D7	Pf3D7_08_v3:1,226,750..1,228,409(-)	translation initiation factor eIF-2B subunit alpha, putative	protein coding	2655458
PF3D7_0828700	PF3D7_0828700.1	P. falciparum 3D7	Pf3D7_08_v3:1,233,372..1,236,473(+)	conserved protein, unknown function	protein coding	2655240
PF3D7_0828800	PF3D7_0828800.1	P. falciparum 3D7	Pf3D7_08_v3:1,237,285..1,239,501(-)	GPI-anchored micronemal antigen	protein coding	2655457
PF3D7_0829400	PF3D7_0829400.1	P. falciparum 3D7	Pf3D7_08_v3:1,257,716..1,259,041(-)	prolyl 4-hydroxylase subunit alpha, putative	protein coding	2655430
PF3D7_0830500	PF3D7_0830500.1	P. falciparum 3D7	Pf3D7_08_v3:1,296,134..1,298,328(-)	sporozoite and liver stage tryptophan-rich protein, putative	protein coding	2655452
PF3D7_0830600	PF3D7_0830600.1	P. falciparum 3D7	Pf3D7_08_v3:1,303,323..1,304,813(+)	Plasmodium exported protein (PHISTc), unknown function	protein coding	2655380
PF3D7_0830700	PF3D7_0830700.1	P. falciparum 3D7	Pf3D7_08_v3:1,307,053..1,307,924(+)	Plasmodium exported protein (hyp9), unknown function	protein coding	2655412
PF3D7_0830800	PF3D7_0830800.1	P. falciparum 3D7	Pf3D7_08_v3:1,310,637..1,316,955(+)	surface-associated interspersed protein 8.2 (SURFIN 8.2)	protein coding	2655451
PF3D7_0830900	PF3D7_0830900.1	P. falciparum 3D7	Pf3D7_08_v3:1,317,600..1,318,341(-)	Plasmodium exported protein, unknown function	protein coding	2655247
PF3D7_0900100	PF3D7_0900100.1	P. falciparum 3D7	Pf3D7_09_v3:20,080..27,885(+)	erythrocyte membrane protein 1, PfEMP1	protein coding	813289
PF3D7_0902600	PF3D7_0902600.1	P. falciparum 3D7	Pf3D7_09_v3:113,409..115,549(-)	serine/threonine protein kinase, FIKK family	protein coding	813305
PF3D7_0903200	PF3D7_0903200.1	P. falciparum 3D7	Pf3D7_09_v3:133,762..135,587(-)	ras-related protein RAB7	protein coding	813311
PF3D7_0903300	PF3D7_0903300.1	P. falciparum 3D7	Pf3D7_09_v3:140,977..150,588(+)	conserved protein, unknown function	protein coding	813312
PF3D7_0903400	PF3D7_0903400.1	P. falciparum 3D7	Pf3D7_09_v3:151,700..159,541(-)	ATP-dependent RNA helicase DDX60, putative	protein coding	813313
PF3D7_0903500	PF3D7_0903500.1	P. falciparum 3D7	Pf3D7_09_v3:162,769..166,923(+)	nucleoporin NUP138, putative	protein coding	813314
PF3D7_0903600	PF3D7_0903600.1	P. falciparum 3D7	Pf3D7_09_v3:168,493..172,887(+)	conserved protein, unknown function, unspecified product	protein coding	813315
PF3D7_0903600	PF3D7_0903600.2	P. falciparum 3D7	Pf3D7_09_v3:168,493..172,887(+)	conserved protein, unknown function, unspecified product	protein coding	813315
PF3D7_0903700	PF3D7_0903700.1	P. falciparum 3D7	Pf3D7_09_v3:175,542..177,442(+)	alpha tubulin 1	protein coding	813316
PF3D7_0903900	PF3D7_0903900.1	P. falciparum 3D7	Pf3D7_09_v3:185,821..186,383(+)	60S ribosomal protein L32	protein coding	813318
PF3D7_0904000	PF3D7_0904000.1	P. falciparum 3D7	Pf3D7_09_v3:187,342..188,622(-)	GTPase-activating protein, putative	protein coding	813319
PF3D7_0904100	PF3D7_0904100.1	P. falciparum 3D7	Pf3D7_09_v3:190,858..195,827(-)	AP-4 complex subunit epsilon, putative	protein coding	813320
PF3D7_0904600	PF3D7_0904600.1	P. falciparum 3D7	Pf3D7_09_v3:212,515..217,983(+)	ubiquitin specific protease, putative	protein coding	813325
PF3D7_0904900	PF3D7_0904900.1	P. falciparum 3D7	Pf3D7_09_v3:224,875..232,831(-)	copper-transporting ATPase	protein coding	813328
PF3D7_0905100	PF3D7_0905100.1	P. falciparum 3D7	Pf3D7_09_v3:236,359..242,969(-)	nucleoporin NUP221, putative	protein coding	813330
PF3D7_0905400	PF3D7_0905400.1	P. falciparum 3D7	Pf3D7_09_v3:270,740..274,789(-)	high molecular weight rhoptry protein 3	protein coding	813333
PF3D7_0905800	PF3D7_0905800.1	P. falciparum 3D7	Pf3D7_09_v3:289,050..292,897(+)	conserved Plasmodium protein, unknown function	protein coding	813337
PF3D7_0905900	PF3D7_0905900.1	P. falciparum 3D7	Pf3D7_09_v3:293,585..296,617(-)	coatomer subunit beta, putative	protein coding	813338
PF3D7_0907200	PF3D7_0907200.1	P. falciparum 3D7	Pf3D7_09_v3:345,892..349,293(+)	GTPase-activating protein, putative	protein coding	813349
PF3D7_0907300	PF3D7_0907300.1	P. falciparum 3D7	Pf3D7_09_v3:350,186..350,962(-)	prefoldin-like protein, putative	protein coding	813350
PF3D7_0907400	PF3D7_0907400.1	P. falciparum 3D7	Pf3D7_09_v3:351,955..354,723(-)	ATP-dependent protease ATPase subunit ClpY	protein coding	813351
PF3D7_0907700	PF3D7_0907700.1	P. falciparum 3D7	Pf3D7_09_v3:364,069..364,908(-)	proteasome activator 28 subunit beta, putative	protein coding	813354
PF3D7_0909700	PF3D7_0909700.1	P. falciparum 3D7	Pf3D7_09_v3:440,914..444,024(+)	FHA domain protein, putative	protein coding	813374
PF3D7_0910200	PF3D7_0910200.1	P. falciparum 3D7	Pf3D7_09_v3:464,559..473,768(+)	conserved Plasmodium protein, unknown function	protein coding	813379
PF3D7_0911700	PF3D7_0911700.1	P. falciparum 3D7	Pf3D7_09_v3:532,341..535,598(+)	GTP-binding protein, putative	protein coding	813394
PF3D7_0912000	PF3D7_0912000.1	P. falciparum 3D7	Pf3D7_09_v3:541,033..545,739(-)	conserved Plasmodium protein, unknown function	protein coding	813397
PF3D7_0912100	PF3D7_0912100.1	P. falciparum 3D7	Pf3D7_09_v3:546,800..548,101(-)	zinc finger protein, putative	protein coding	813398
PF3D7_0913000	PF3D7_0913000.1	P. falciparum 3D7	Pf3D7_09_v3:569,124..570,374(-)	conserved protein, unknown function	protein coding	813407
PF3D7_0914100	PF3D7_0914100.1	P. falciparum 3D7	Pf3D7_09_v3:601,076..604,576(-)	conserved Plasmodium protein, unknown function	protein coding	813418
